律所名称,设立时间,负责人,律师人数,联系电话

北京大成（深圳）律师事务所,2008年4月,张健,303名,0755-26224888
北京德恒（深圳）律师事务所,2002年5月,刘震国,257名,0755-88286488
北京市金杜（深圳）律师事务所,1998年7月,赵显龙,108名,22163333
北京市京师（深圳）律师事务所,2018年5月,邵雷雷,212名,83140521
北京市君泽君（深圳）律师事务所,2004年1月,姜德源,104名,0755-33988188
北京市隆安（深圳）律师事务所,2004年12月,赵红博,121名,0755-23980467
北京市盈科（深圳）律师事务所,2012年3月,姜敏,562名,0755-36866600
北京市中伦（深圳）律师事务所,2002年6月,赖继红,160名,0755-33256666
广东诚公律师事务所,1994年2月,罗振辉,130名,0755-88022288
广东德纳律师事务所,2007年3月,陈峻峰,103名,0755-82805168
广东广和律师事务所,1995年10月,童新,448名,0755-83679909
广东国晖律师事务所,2004年12月,孙智峰,252名,83033000 83033066
广东华商律师事务所,1993年12月,高树,511名,83025555
广东君言律师事务所,2003年5月,刘国江,105名,83023159
广东普罗米修律师事务所,2002年3月,杨逍,173名,0755-25471600
广东商达律师事务所,2005年10月,汤建彬,179名,28101988
广东晟典律师事务所,2002年11月,陈治民,208名,0755-83663333
广东信达律师事务所,1993年8月,张炯,151名,88265288
广东星辰律师事务所,1993年12月,钟永标,114名,82813366
广东卓建律师事务所,2007年7月,张斌,245名,0755-33050833
注：排序不分先后，按事务所名称拼音字母排序
